Quotazioni in euro riferite al 22/09/2014
""
Paese,Valuta,Codice ISO,Codice UIC,Quotazione,Convenzione di cambio,Nota
CAMBOGIA,Riel Kampuchea,KHR,141,5240.76,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CAMERUN,Franco CFA,XAF,043,655.957,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CANADA,Dollaro Canadese,CAD,012,1.4135,Quantità di valuta per 1 Euro,QUOTAZIONI DI RIFERIMENTO RILEVATE SECONDO LE PROCEDURE STABILITE NELL'AMBITO DEL SEBC E PUBBLICATE SULLA GU
CAPO VERDE,Escudo Capo Verde,CVE,181,110.265,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CAYMAN (Isole),Dollaro Isole Cayman,KYD,205,1.05971,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CECA (Repubblica),Corona Ceca,CZK,223,27.543,Quantità di valuta per 1 Euro,QUOTAZIONI DI RIFERIMENTO RILEVATE SECONDO LE PROCEDURE STABILITE NELL'AMBITO DEL SEBC E PUBBLICATE SULLA GU
CENTRAFRICANA (Repubblica),Franco CFA,XAF,043,655.957,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CIAD,Franco CFA,XAF,043,655.957,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CILE,Peso Cileno,CLP,029,770.771,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
CINA (Repubblica Popolare di),Renminbi(Yuan),CNY,144,7.888,Quantità di valuta per 1 Euro,QUOTAZIONI DI RIFERIMENTO RILEVATE SECONDO LE PROCEDURE STABILITE NELL'AMBITO DEL SEBC E PUBBLICATE SULLA GU
COLOMBIA,Peso Colombiano,COP,040,2536.56,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
